Extent,Solidity,rapportoSurfaceVolume,rapportoAssiYZ,rapportoAssiXZ,rapportoAssiXY,rapportoVolumeY,rapportoVolumeX,rapportoVolumeZ,rapportoSurfaceYDim,rapportoSurfaceXDim,rapportoSurfaceZDim,rappFineBinDistCP,rappDimXCentX,rappDimYCentY,rappDimZCentZ,isVena
0.042184297929475,0.219775971724944,0.481458085434359,13.6717468397275,0.692308396853291,0.0506378888498412,122.045717421306,2410.16598822304,1668.57815145702,58.7598974451248,1160.39390226888,803.3504421981,1.53413997498568,0.0725802304841979,1.37780278677856,0.204434107815939,1
0.0519484498918529,0.157216030896624,0.667579243024759,2.73406977143366,0.299142726140048,0.109412981799359,155.564896451273,1421.81388252948,425.325280883634,103.851895814166,949.173435421123,283.938329051589,1.34990332915357,0.0479210061248203,0.615504093462214,0.525288795876417,0
0.0232613171751369,0.226383941445741,0.373563562153457,13.1178171587108,0.650975483826491,0.0496252902407787,215.369907545185,4339.92237627678,2825.18306866619,80.45434984324,1621.23686235145,1055.38545086658,1.70848497393888,0.254307144606944,3.29668326239027,0.266595974181603,1
0.0575072253439016,0.256365699940141,0.439942688697826,2.80623007327084,0.216984738325376,0.0773225048053406,616.507463318075,7973.19570634879,1730.0617839591,271.227951014431,3507.74915656505,761.128032848326,1.22279786332979,0.0414595445243334,0.67444511732694,0.696045256803247,0
0.0458560109092657,0.203862120076581,0.508782944860067,2.46244803856564,0.189337574883398,0.076889977744946,417.857267303746,5434.48287486612,1028.95180827251,212.59865098998,2764.97220086599,523.513131131978,1.21028036244088,0.0489627352034031,0.515496311600503,0.674417573533626,0
0.0446511799048226,0.115926568694572,0.761691961963621,1.91695996124817,0.500283003333982,0.260977283536082,165.960741195229,635.920256914942,318.140096010324,126.410962569931,484.375348141952,242.324753909399,1.55554648341853,1.49341940573052,3.29038660629758,0.399176927520605,0
0.0449474896440296,0.148461451118429,0.776005480700284,1.53662638477764,0.460584441531754,0.29973742875592,70.3914381807432,234.843671252228,108.165341170974,54.6241418226319,182.239975999504,83.9368975704919,2.44943410674085,1.0122788127935,0.906083033011908,0.262782077288041,0
0.0568590140018711,0.281240195770848,0.464291790707968,5.72146370441766,0.400098185695998,0.0699293408760198,152.129384137024,2175.47287349296,870.402749715392,70.632424180279,1010.05419607065,404.120851302498,1.15133045732794,0.0590766792946934,0.429327294486599,0.223890607036479,1
0.068999594006053,0.235974060808785,0.52728974803945,1.63667505895741,0.181069595702666,0.110632586909469,416.249103253319,3762.44572129491,681.264525608096,219.483884776089,1983.8990563937,359.223800056109,1.15642676287457,0.123447850923272,0.325452239631872,0.590134403445921,0
0.063457927974057,0.206104089454845,0.635515979921519,1.78426671524351,0.342150975241616,0.191759994354275,139.885053824265,729.479859943197,249.592245498683,88.8991870575019,463.596108024813,158.619860478908,2.99307009048056,0.107462276300766,0.275225972664434,0.271547064818664,0
